focus,question_type,question,answer
Diabetes,information,What is (are) Transient neonatal diabetes mellitus ?,"Transient neonatal diabetes mellitus (TNDB) is a type of diabetes that appears within the first few weeks of life but is transient; affected infants go into remission within a few months, with possible relapse to permanent diabetes in adolescence or adulthood. Affected individuals have slow growth before birth followed by hyperglycemia, dehydration and failure to thrive in infancy. Approximately 70% of cases are caused by the overactivity of certain genes in a region of the long (q) arm of chromosome 6 called 6q24. These cases are referred to as 6q24-related TNDB; most (but not all) of these cases are not inherited. Other genetic causes include mutations in the KCNJ11 and ABCC8 genes, which usually cause permanent neonatal diabetes. Treatment may include rehydration and intravenous insulin at the time of diagnosis, followed by subcutaneous insulin."
Diabetes,symptoms,What are the symptoms of Transient neonatal diabetes mellitus ?,"What are the signs and symptoms of Transient neonatal diabetes mellitus? The Human Phenotype Ontology provides the following list of signs and symptoms for Transient neonatal diabetes mellitus. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Type II diabetes mellitus 2/7 Autosomal dominant inheritance - Dehydration - Hyperglycemia - Intrauterine growth retardation - Severe failure to thrive - Transient neonatal diabetes mellitus - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
Diabetes,information,What is (are) maternally inherited diabetes and deafness ?,"Maternally inherited diabetes and deafness (MIDD) is a form of diabetes that is often accompanied by hearing loss, especially of high tones. The diabetes in MIDD is characterized by high blood sugar levels (hyperglycemia) resulting from a shortage of the hormone insulin, which regulates the amount of sugar in the blood. In MIDD, the diabetes and hearing loss usually develop in mid-adulthood, although the age that they occur varies from childhood to late adulthood. Typically, hearing loss occurs before diabetes.  Some people with MIDD develop an eye disorder called macular retinal dystrophy, which is characterized by colored patches in the light-sensitive tissue that lines the back of the eye (the retina). This disorder does not usually cause vision problems in people with MIDD. Individuals with MIDD also may experience muscle cramps or weakness, particularly during exercise; heart problems; kidney disease; and constipation. Individuals with MIDD are often shorter than their peers."
Diabetes,frequency,How many people are affected by maternally inherited diabetes and deafness ?,About 1 percent of people with diabetes have MIDD. The condition is most common in the Japanese population and has been found in populations worldwide.
Diabetes,general,What are the genetic changes related to maternally inherited diabetes and deafness ?,"Mutations in the MT-TL1, MT-TK, or MT-TE gene cause MIDD. These genes are found in mitochondrial DNA, which is part of cellular structures called mitochondria. Although most DNA is packaged in chromosomes within the cell nucleus, mitochondria also have a small amount of their own DNA (known as mitochondrial DNA or mtDNA).  The MT-TL1, MT-TK, and MT-TE genes provide instructions for making molecules called transfer RNAs (tRNAs), which are chemical cousins of DNA. These molecules help assemble protein building blocks (amino acids) into functioning proteins. The MT-TL1 gene provides instructions for making a specific form of tRNA that is designated as tRNALeu(UUR). During protein assembly, this molecule attaches to the amino acid leucine (Leu) and inserts it into the appropriate locations in the growing protein. Similarly, the protein produced from the MT-TK gene, called tRNALys, attaches to the amino acid lysine (Lys) and inserts it into proteins being assembled. Also, the protein produced from the MT-TE gene, called tRNAGlu, attaches to the amino acid glutamic acid (Glu) and adds it to growing proteins.  These tRNA molecules are present only in mitochondria, and they help assemble proteins that are involved in producing energy for cells. In certain cells in the pancreas called beta cells, mitochondria also play a role in controlling the amount of sugar (glucose) in the bloodstream. In response to high glucose levels, mitochondria help trigger the release of insulin, which stimulates cells to take up glucose from the blood.  Mutations in the MT-TL1, MT-TK, or MT-TE gene reduce the ability of tRNA to add amino acids to growing proteins, which slows protein production in mitochondria and impairs their functioning. Researchers believe that the disruption of mitochondrial function lessens the ability of mitochondria to help trigger insulin release. In people with this condition, diabetes results when the beta cells do not produce enough insulin to regulate blood sugar effectively. Researchers have not determined how the mutations lead to hearing loss or the other features of MIDD."
Diabetes,inheritance,Is maternally inherited diabetes and deafness inherited ?,"MIDD is inherited in a mitochondrial pattern, which is also known as maternal inheritance. This pattern of inheritance applies to genes contained in mtDNA. Because egg cells, but not sperm cells, contribute mitochondria to the developing embryo, children can only inherit disorders resulting from mtDNA mutations from their mother. These disorders can appear in every generation of a family and can affect both males and females, but fathers do not pass traits associated with changes in mtDNA to their children.  Most of the body's cells contain thousands of mitochondria, each with one or more copies of mtDNA. These cells can have a mix of mitochondria containing mutated and unmutated DNA (heteroplasmy). The severity of MIDD is thought to be associated with the percentage of mitochondria with the mtDNA mutation."
Diabetes,treatment,What are the treatments for maternally inherited diabetes and deafness ?,These resources address the diagnosis or management of MIDD:  - Genetic Testing Registry: Diabetes-deafness syndrome maternally transmitted   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care
Diabetes,information,What is (are) nephrogenic diabetes insipidus ?,"Nephrogenic diabetes insipidus is a disorder of water balance. The body normally balances fluid intake with the excretion of fluid in urine. However, people with nephrogenic diabetes insipidus produce too much urine (polyuria), which causes them to be excessively thirsty (polydipsia). Affected individuals can quickly become dehydrated if they do not drink enough water, especially in hot weather or when they are sick.  Nephrogenic diabetes insipidus can be either acquired or hereditary. The acquired form is brought on by certain drugs and chronic diseases and can occur at any time during life. The hereditary form is caused by genetic mutations, and its signs and symptoms usually become apparent within the first few months of life.  Infants with hereditary nephrogenic diabetes insipidus may eat poorly and fail to gain weight and grow at the expected rate (failure to thrive). They may also be irritable and experience fevers, diarrhea, and vomiting. Recurrent episodes of dehydration can lead to slow growth and delayed development. If the condition is not well-managed, over time it can damage the bladder and kidneys leading to pain, infections, and kidney failure. With appropriate treatment, affected individuals usually have few complications and a normal lifespan.  Nephrogenic diabetes insipidus should not be confused with diabetes mellitus, which is much more common. Diabetes mellitus is characterized by high blood sugar levels resulting from a shortage of the hormone insulin or an insensitivity to this hormone. Although nephrogenic diabetes insipidus and diabetes mellitus have some features in common, they are separate disorders with different causes."
Diabetes,frequency,How many people are affected by nephrogenic diabetes insipidus ?,"The prevalence of nephrogenic diabetes insipidus is unknown, although the condition is thought to be rare. The acquired form occurs more frequently than the hereditary form."
Diabetes,general,What are the genetic changes related to nephrogenic diabetes insipidus ?,"The hereditary form of nephrogenic diabetes insipidus can be caused by mutations in at least two genes. About 90 percent of all cases of hereditary nephrogenic diabetes insipidus result from mutations in the AVPR2 gene. Most of the remaining 10 percent of cases are caused by mutations in the AQP2 gene. Both of these genes provide instructions for making proteins that help determine how much water is excreted in urine.  The acquired form of nephrogenic diabetes insipidus can result from chronic kidney disease, certain medications (such as lithium), low levels of potassium in the blood (hypokalemia), high levels of calcium in the blood (hypercalcemia), or an obstruction of the urinary tract.  The kidneys filter the blood to remove waste and excess fluid, which are stored in the bladder as urine. The balance between fluid intake and urine excretion is controlled by a hormone called vasopressin or antidiuretic hormone (ADH). ADH directs the kidneys to concentrate urine by reabsorbing some of the water into the bloodstream. Normally, when a person's fluid intake is low or when a lot of fluid is lost (for example, through sweating), increased levels of ADH in the blood tell the kidneys to make less urine. When fluid intake is adequate, lower levels of ADH tell the kidneys to make more urine.  Mutations in the AVPR2 or AQP2 genes prevent the kidneys from responding to signals from ADH. Chronic kidney disease, certain drugs, and other factors can also impair the kidneys' ability to respond to this hormone. As a result, the kidneys do not reabsorb water as they should, and the body makes excessive amounts of urine. These problems with water balance are characteristic of nephrogenic diabetes insipidus."
Diabetes,inheritance,Is nephrogenic diabetes insipidus inherited ?,"When nephrogenic diabetes insipidus results from mutations in the AVPR2 gene, the condition has an X-linked recessive pattern of inheritance. The AVPR2 gene is located on the X chromosome, which is one of the two sex chromosomes. In males (who have only one X chromosome), one altered copy of the gene in each cell is sufficient to cause the condition. In females (who have two X chromosomes), a mutation usually has to occur in both copies of the gene to cause the disorder. However, some females who carry a single mutated copy of the AVPR2 gene have features of nephrogenic diabetes insipidus, including polyuria and polydipsia. A characteristic of X-linked inheritance is that fathers cannot pass X-linked traits to their sons.  When nephrogenic diabetes insipidus is caused by mutations in the AQP2 gene, it can have either an autosomal recessive or, less commonly, an autosomal dominant pattern of inheritance. In autosomal recessive inheritance, both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition. In autosomal dominant inheritance, one mutated copy of the AQP2 gene in each cell is sufficient to cause the disorder."
Diabetes,treatment,What are the treatments for nephrogenic diabetes insipidus ?,"These resources address the diagnosis or management of nephrogenic diabetes insipidus:  - Gene Review: Gene Review: Nephrogenic Diabetes Insipidus  - Genetic Testing Registry: Nephrogenic diabetes insipidus  - Genetic Testing Registry: Nephrogenic diabetes insipidus, X-linked  - Genetic Testing Registry: Nephrogenic diabetes insipidus, autosomal  - MedlinePlus Encyclopedia: ADH  - MedlinePlus Encyclopedia: Diabetes Insipidus - Nephrogenic   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care"
Diabetes,information,What is (are) neurohypophyseal diabetes insipidus ?,"Neurohypophyseal diabetes insipidus is a disorder of water balance. The body normally balances fluid intake with the excretion of fluid in urine. However, people with neurohypophyseal diabetes insipidus produce too much urine (polyuria), which causes them to be excessively thirsty (polydipsia). Affected people need to urinate frequently, which can disrupt daily activities and sleep.  People with neurohypophyseal diabetes insipidus can quickly become dehydrated if they do not drink enough water. Dehydration can lead to constipation and dry skin. If the disorder is not treated, more serious complications of dehydration can occur. These include confusion, low blood pressure, seizures, and coma.  Neurohypophyseal diabetes insipidus can be either acquired or familial. The acquired form is brought on by injuries, tumors, and other factors, and can occur at any time during life. The familial form is caused by genetic mutations; its signs and symptoms usually become apparent in childhood and worsen over time.  Neurohypophyseal diabetes insipidus should not be confused with diabetes mellitus, which is much more common. Diabetes mellitus is characterized by high blood sugar levels resulting from a shortage of the hormone insulin or an insensitivity to this hormone. Although neurohypophyseal diabetes insipidus and diabetes mellitus have some features in common, they are separate disorders with different causes."
Diabetes,frequency,How many people are affected by neurohypophyseal diabetes insipidus ?,"Neurohypophyseal diabetes insipidus is thought to be rare, although its exact incidence is unknown. The acquired form occurs much more frequently than the familial form."
Diabetes,general,What are the genetic changes related to neurohypophyseal diabetes insipidus ?,"The familial form of neurohypophyseal diabetes insipidus is caused by mutations in the AVP gene. This gene provides instructions for making a hormone called vasopressin or antidiuretic hormone (ADH). This hormone, which is produced and stored in the brain, helps control the body's water balance.  The kidneys filter the blood to remove waste and excess fluid, which are stored in the bladder as urine. ADH controls the balance between fluid intake and urine excretion. Normally, when a person's fluid intake is low or when a lot of fluid is lost (for example, through sweating), the brain releases more ADH into the bloodstream. High levels of this hormone direct the kidneys to reabsorb more water and to make less urine. When fluid intake is adequate, the brain releases less ADH. Lower levels of this hormone cause the kidneys to reabsorb less water and to make more urine.  Mutations in the AVP gene result in progressive damage to the brain cells where ADH is produced. These cells ultimately die, causing a shortage of ADH. Without this hormone, the kidneys do not reabsorb water as they should, and the body makes excessive amounts of urine. These problems with water balance are characteristic of neurohypophyseal diabetes insipidus.  The acquired form of neurohypophyseal diabetes insipidus results when the areas of the brain that produce or store ADH are damaged by head injuries, brain tumors, brain surgery, certain diseases and infections, or bleeding in the brain. A loss of ADH disrupts the body's water balance, leading to excessive urine production and the other features of the disorder.  In 30 to 50 percent of all cases of neurohypophyseal diabetes insipidus, the cause of the disorder is unknown. Studies suggest that some of these cases may have an autoimmune basis. Autoimmune disorders occur when the immune system malfunctions and attacks the body's own tissues and organs. For unknown reasons, in some people with neurohypophyseal diabetes insipidus the immune system appears to damage the brain cells that normally produce ADH."
Diabetes,inheritance,Is neurohypophyseal diabetes insipidus inherited ?,"Familial neurohypophyseal diabetes insipidus is almost always inherited in an autosomal dominant pattern, which means one copy of the altered AVP gene in each cell is sufficient to cause the disorder.  In a few affected families, the condition has had an autosomal recessive pattern of inheritance. Autosomal recessive inheritance means that both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition."
Diabetes,treatment,What are the treatments for neurohypophyseal diabetes insipidus ?,These resources address the diagnosis or management of neurohypophyseal diabetes insipidus:  - Genetic Testing Registry: Neurohypophyseal diabetes insipidus  - MedlinePlus Encyclopedia: ADH  - MedlinePlus Encyclopedia: Diabetes Insipidus - Central   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care
Diabetes,information,What is (are) permanent neonatal diabetes mellitus ?,"Permanent neonatal diabetes mellitus is a type of diabetes that first appears within the first 6 months of life and persists throughout the lifespan. This form of diabetes is characterized by high blood sugar levels (hyperglycemia) resulting from a shortage of the hormone insulin. Insulin controls how much glucose (a type of sugar) is passed from the blood into cells for conversion to energy.  Individuals with permanent neonatal diabetes mellitus experience slow growth before birth (intrauterine growth retardation). Affected infants have hyperglycemia and an excessive loss of fluids (dehydration) and are unable to gain weight and grow at the expected rate (failure to thrive).  In some cases, people with permanent neonatal diabetes mellitus also have certain neurological problems, including developmental delay and recurrent seizures (epilepsy). This combination of developmental delay, epilepsy, and neonatal diabetes is called DEND syndrome. Intermediate DEND syndrome is a similar combination but with milder developmental delay and without epilepsy.  A small number of individuals with permanent neonatal diabetes mellitus have an underdeveloped pancreas. Because the pancreas produces digestive enzymes as well as secreting insulin and other hormones, affected individuals experience digestive problems such as fatty stools and an inability to absorb fat-soluble vitamins."
Diabetes,frequency,How many people are affected by permanent neonatal diabetes mellitus ?,"About 1 in 400,000 infants are diagnosed with diabetes mellitus in the first few months of life. However, in about half of these babies the condition is transient and goes away on its own by age 18 months. The remainder are considered to have permanent neonatal diabetes mellitus."
Diabetes,general,What are the genetic changes related to permanent neonatal diabetes mellitus ?,"Permanent neonatal diabetes mellitus may be caused by mutations in several genes.  About 30 percent of individuals with permanent neonatal diabetes mellitus have mutations in the KCNJ11 gene. An additional 20 percent of people with permanent neonatal diabetes mellitus have mutations in the ABCC8 gene. These genes provide instructions for making parts (subunits) of the ATP-sensitive potassium (K-ATP) channel. Each K-ATP channel consists of eight subunits, four produced from the KCNJ11 gene and four from the ABCC8 gene.  K-ATP channels are found across cell membranes in the insulin-secreting beta cells of the pancreas. These channels open and close in response to the amount of glucose in the bloodstream. Closure of the channels in response to increased glucose triggers the release of insulin out of beta cells and into the bloodstream, which helps control blood sugar levels.  Mutations in the KCNJ11 or ABCC8 gene that cause permanent neonatal diabetes mellitus result in K-ATP channels that do not close, leading to reduced insulin secretion from beta cells and impaired blood sugar control.  Mutations in the INS gene, which provides instructions for making insulin, have been identified in about 20 percent of individuals with permanent neonatal diabetes mellitus. Insulin is produced in a precursor form called proinsulin, which consists of a single chain of protein building blocks (amino acids). The proinsulin chain is cut (cleaved) to form individual pieces called the A and B chains, which are joined together by connections called disulfide bonds to form insulin. Mutations in the INS gene are believed to disrupt the cleavage of the proinsulin chain or the binding of the A and B chains to form insulin, leading to impaired blood sugar control.  Permanent neonatal diabetes mellitus can also be caused by mutations in other genes, some of which have not been identified."
Diabetes,inheritance,Is permanent neonatal diabetes mellitus inherited ?,"Permanent neonatal diabetes mellitus can have different inheritance patterns.  When this condition is caused by mutations in the KCNJ11 or INS gene it is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. In about 90 percent of these cases, the condition results from new mutations in the gene and occurs in people with no history of the disorder in their family. In the remaining cases, an affected person inherits the mutation from one affected parent.  When permanent neonatal diabetes mellitus is caused by mutations in the ABCC8 gene, it may be inherited in either an autosomal dominant or autosomal recessive pattern. In autosomal recessive inheritance, both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.  Less commonly the condition is caused by mutations in other genes, and in these cases it is also inherited in an autosomal recessive pattern."
Diabetes,treatment,What are the treatments for permanent neonatal diabetes mellitus ?,"These resources address the diagnosis or management of permanent neonatal diabetes mellitus:  - Gene Review: Gene Review: Permanent Neonatal Diabetes Mellitus  - Genetic Testing Registry: Pancreatic agenesis, congenital  - Genetic Testing Registry: Permanent neonatal diabetes mellitus  - University of Chicago Kovler Diabetes Center   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care"
Diabetes,information,What is (are) type 1 diabetes ?,"Type 1 diabetes is a disorder characterized by abnormally high blood sugar levels. In this form of diabetes, specialized cells in the pancreas called beta cells stop producing insulin. Insulin controls how much glucose (a type of sugar) is passed from the blood into cells for conversion to energy. Lack of insulin results in the inability to use glucose for energy or to control the amount of sugar in the blood.  Type 1 diabetes can occur at any age; however, it usually develops by early adulthood, most often starting in adolescence. The first signs and symptoms of the disorder are caused by high blood sugar and may include frequent urination (polyuria), excessive thirst (polydipsia), fatigue, blurred vision, tingling or loss of feeling in the hands and feet, and weight loss. These symptoms may recur during the course of the disorder if blood sugar is not well controlled by insulin replacement therapy. Improper control can also cause blood sugar levels to become too low (hypoglycemia). This may occur when the body's needs change, such as during exercise or if eating is delayed. Hypoglycemia can cause headache, dizziness, hunger, shaking, sweating, weakness, and agitation.  Uncontrolled type 1 diabetes can lead to a life-threatening complication called diabetic ketoacidosis. Without insulin, cells cannot take in glucose. A lack of glucose in cells prompts the liver to try to compensate by releasing more glucose into the blood, and blood sugar can become extremely high. The cells, unable to use the glucose in the blood for energy, respond by using fats instead. Breaking down fats to obtain energy produces waste products called ketones, which can build up to toxic levels in people with type 1 diabetes, resulting in diabetic ketoacidosis. Affected individuals may begin breathing rapidly; develop a fruity odor in the breath; and experience nausea, vomiting, facial flushing, stomach pain, and dryness of the mouth (xerostomia). In severe cases, diabetic ketoacidosis can lead to coma and death.  Over many years, the chronic high blood sugar associated with diabetes may cause damage to blood vessels and nerves, leading to complications affecting many organs and tissues. The retina, which is the light-sensitive tissue at the back of the eye, can be damaged (diabetic retinopathy), leading to vision loss and eventual blindness. Kidney damage (diabetic nephropathy) may also occur and can lead to kidney failure and end-stage renal disease (ESRD). Pain, tingling, and loss of normal sensation (diabetic neuropathy) often occur, especially in the feet. Impaired circulation and absence of the normal sensations that prompt reaction to injury can result in permanent damage to the feet; in severe cases, the damage can lead to amputation. People with type 1 diabetes are also at increased risk of heart attacks, strokes, and problems with urinary and sexual function."
Diabetes,frequency,How many people are affected by type 1 diabetes ?,"Type 1 diabetes occurs in 10 to 20 per 100,000 people per year in the United States. By age 18, approximately 1 in 300 people in the United States develop type 1 diabetes. The disorder occurs with similar frequencies in Europe, the United Kingdom, Canada, and New Zealand. Type 1 diabetes occurs much less frequently in Asia and South America, with reported incidences as low as 1 in 1 million per year. For unknown reasons, during the past 20 years the worldwide incidence of type 1 diabetes has been increasing by 2 to 5 percent each year.  Type 1 diabetes accounts for 5 to 10 percent of cases of diabetes worldwide. Most people with diabetes have type 2 diabetes, in which the body continues to produce insulin but becomes less able to use it."
Diabetes,general,What are the genetic changes related to type 1 diabetes ?,"The causes of type 1 diabetes are unknown, although several risk factors have been identified. The risk of developing type 1 diabetes is increased by certain variants of the HLA-DQA1, HLA-DQB1, and HLA-DRB1 genes. These genes provide instructions for making proteins that play a critical role in the immune system. The HLA-DQA1, HLA-DQB1, and HLA-DRB1 genes belong to a family of genes called the human leukocyte antigen (HLA) complex. The HLA complex helps the immune system distinguish the body's own proteins from proteins made by foreign invaders such as viruses and bacteria.  Type 1 diabetes is generally considered to be an autoimmune disorder. Autoimmune disorders occur when the immune system attacks the body's own tissues and organs. For unknown reasons, in people with type 1 diabetes the immune system damages the insulin-producing beta cells in the pancreas. Damage to these cells impairs insulin production and leads to the signs and symptoms of type 1 diabetes.  HLA genes, including HLA-DQA1, HLA-DQB1, and HLA-DRB1, have many variations, and individuals have a certain combination of these variations, called a haplotype. Certain HLA haplotypes are associated with a higher risk of developing type 1 diabetes, with particular combinations of HLA-DQA1, HLA-DQB1, and HLA-DRB1 gene variations resulting in the highest risk. These haplotypes seem to increase the risk of an inappropriate immune response to beta cells. However, these variants are also found in the general population, and only about 5 percent of individuals with the gene variants develop type 1 diabetes. HLA variations account for approximately 40 percent of the genetic risk for the condition. Other HLA variations appear to be protective against the disease. Additional contributors, such as environmental factors and variations in other genes, are also thought to influence the development of this complex disorder."
Diabetes,inheritance,Is type 1 diabetes inherited ?,"A predisposition to develop type 1 diabetes is passed through generations in families, but the inheritance pattern is unknown."
Diabetes,treatment,What are the treatments for type 1 diabetes ?,"These resources address the diagnosis or management of type 1 diabetes:  - Food and Drug Administration: Blood Glucose Measuring Devices  - Food and Drug Administration: Insulin  - Genetic Testing Registry: Diabetes mellitus type 1  - Genetic Testing Registry: Diabetes mellitus, insulin-dependent, 10  - Genetic Testing Registry: Diabetes mellitus, insulin-dependent, 11  - Genetic Testing Registry: Diabetes mellitus, insulin-dependent, 12  - Genetic Testing Registry: Diabetes mellitus, insulin-dependent, 13  - Genetic Testing Registry: Diabetes mellitus, insulin-dependent, 15  - Genetic Testing Registry: Diabetes mellitus, insulin-dependent, 17  - Genetic Testing Registry: Diabetes mellitus, insulin-dependent, 18  - Genetic Testing Registry: Diabetes mellitus, insulin-dependent, 19  - Genetic Testing Registry: Diabetes mellitus, insulin-dependent, 2  - Genetic Testing Registry: Diabetes mellitus, insulin-dependent, 20  - Genetic Testing Registry: Diabetes mellitus, insulin-dependent, 21  - Genetic Testing Registry: Diabetes mellitus, insulin-dependent, 22  - Genetic Testing Registry: Diabetes mellitus, insulin-dependent, 23  - Genetic Testing Registry: Diabetes mellitus, insulin-dependent, 24  - Genetic Testing Registry: Diabetes mellitus, insulin-dependent, 3  - Genetic Testing Registry: Diabetes mellitus, insulin-dependent, 4  - Genetic Testing Registry: Diabetes mellitus, insulin-dependent, 5  - Genetic Testing Registry: Diabetes mellitus, insulin-dependent, 6  - Genetic Testing Registry: Diabetes mellitus, insulin-dependent, 7  - Genetic Testing Registry: Diabetes mellitus, insulin-dependent, 8  - Genetic Testing Registry: Diabetes mellitus, insulin-dependent, X-linked, susceptibility to  - MedlinePlus Encyclopedia: Anti-Insulin Antibody Test  - MedlinePlus Encyclopedia: Home Blood Sugar Testing  - MedlinePlus Health Topic: Islet Cell Transplantation  - MedlinePlus Health Topic: Pancreas Transplantation  - Type 1 Diabetes in Adults: National Clinical Guideline for Diagnosis and Management in Primary and Secondary Care (2004)  - Type 1 Diabetes: Diagnosis and Management of Type 1 Diabetes in Children and Young People (2004)   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care"
Diabetes,information,What is (are) 6q24-related transient neonatal diabetes mellitus ?,"6q24-related transient neonatal diabetes mellitus is a type of diabetes that occurs in infants. This form of diabetes is characterized by high blood sugar levels (hyperglycemia) resulting from a shortage of the hormone insulin. Insulin controls how much glucose (a type of sugar) is passed from the blood into cells for conversion to energy.  People with 6q24-related transient neonatal diabetes mellitus experience very slow growth before birth (severe intrauterine growth retardation). Affected infants have hyperglycemia and an excessive loss of fluids (dehydration), usually beginning in the first week of life. Signs and symptoms of this form of diabetes are transient, which means that they gradually lessen over time and generally disappear between the ages of 3 months and 18 months. Diabetes may recur, however, especially during childhood illnesses or pregnancy. Up to half of individuals with 6q24-related transient neonatal diabetes mellitus develop permanent diabetes mellitus later in life.  Other features of 6q24-related transient neonatal diabetes mellitus that occur in some affected individuals include an unusually large tongue (macroglossia); a soft out-pouching around the belly-button (an umbilical hernia); malformations of the brain, heart, or kidneys; weak muscle tone (hypotonia); deafness; and developmental delay."
Diabetes,frequency,How many people are affected by 6q24-related transient neonatal diabetes mellitus ?,"Between 1 in 215,000 and 1 in 400,000 babies are born with diabetes mellitus. In about half of these babies, the diabetes is transient. Researchers estimate that approximately 70 percent of transient diabetes in newborns is caused by 6q24-related transient neonatal diabetes mellitus."
Diabetes,general,What are the genetic changes related to 6q24-related transient neonatal diabetes mellitus ?,"6q24-related transient neonatal diabetes mellitus is caused by the overactivity (overexpression) of certain genes in a region of the long (q) arm of chromosome 6 called 6q24. People inherit two copies of their genes, one from their mother and one from their father. Usually both copies of each gene are active, or ""turned on,"" in cells. In some cases, however, only one of the two copies is normally turned on. Which copy is active depends on the parent of origin: some genes are normally active only when they are inherited from a person's father; others are active only when inherited from a person's mother. This phenomenon is known as genomic imprinting.  The 6q24 region includes paternally expressed imprinted genes, which means that normally only the copy of each gene that comes from the father is active. The copy of each gene that comes from the mother is inactivated (silenced) by a mechanism called methylation.  Overactivity of one of the paternally expressed imprinted genes in this region, PLAGL1, is believed to cause 6q24-related transient neonatal diabetes mellitus. Other paternally expressed imprinted genes in the region, some of which have not been identified, may also be involved in this disorder.  There are three ways that overexpression of imprinted genes in the 6q24 region can occur. About 40 percent of cases of 6q24-related transient neonatal diabetes mellitus are caused by a genetic change known as paternal uniparental disomy (UPD) of chromosome 6. In paternal UPD, people inherit both copies of the affected chromosome from their father instead of one copy from each parent. Paternal UPD causes people to have two active copies of paternally expressed imprinted genes, rather than one active copy from the father and one inactive copy from the mother.  Another 40 percent of cases of 6q24-related transient neonatal diabetes mellitus occur when the copy of chromosome 6 that comes from the father has a duplication of genetic material including the paternally expressed imprinted genes in the 6q24 region.  The third mechanism by which overexpression of genes in the 6q24 region can occur is by impaired silencing of the maternal copy of the genes (maternal hypomethylation). Approximately 20 percent of cases of 6q24-related transient neonatal diabetes mellitus are caused by maternal hypomethylation. Some people with this disorder have a genetic change in the maternal copy of the 6q24 region that prevents genes in that region from being silenced. Other affected individuals have a more generalized impairment of gene silencing involving many imprinted regions, called hypomethylation of imprinted loci (HIL).  About half the time, HIL is caused by mutations in the ZFP57 gene. Studies indicate that the protein produced from this gene is important in establishing and maintaining gene silencing. The other causes of HIL are unknown. Because HIL can cause overexpression of many genes, this mechanism may account for the additional health problems that occur in some people with 6q24-related transient neonatal diabetes mellitus.  It is not well understood how overexpression of PLAGL1 and other genes in the 6q24 region causes 6q24-related transient neonatal diabetes mellitus and why the condition improves after infancy. The protein produced from the PLAGL1 gene helps control another protein called the pituitary adenylate cyclase-activating polypeptide receptor (PACAP1), and one of the functions of this protein is to stimulate insulin secretion by beta cells in the pancreas. In addition, overexpression of the PLAGL1 protein has been shown to stop the cycle of cell division and lead to the self-destruction of cells (apoptosis). Researchers suggest that PLAGL1 gene overexpression may reduce the number of insulin-secreting beta cells or impair their function in affected individuals.  Lack of sufficient insulin results in the signs and symptoms of diabetes mellitus. In individuals with 6q24-related transient neonatal diabetes mellitus, these signs and symptoms are most likely to occur during times of physiologic stress, including the rapid growth of infancy, childhood illnesses, and pregnancy. Because insulin acts as a growth promoter during early development, a shortage of this hormone may account for the intrauterine growth retardation seen in 6q24-related transient neonatal diabetes mellitus."
